Sensor_ID,Date,Soil_Moisture(%),Soil_pH,Temperature(C),Humidity(%),Crop_Type,Fertilizer_Recommended(kg/ha),Irrigation_Recommended(mm),Drone_Image_ID
SEN-1274,2025-10-02,45.79,7.96,30.5,83.4,Tomatoes,127.8,20.5,IMG-2274
SEN-1275,2025-10-03,45.11,6.0,27.2,47.2,Maize,137.3,17.0,IMG-2275
SEN-1276,2025-10-04,65.88,5.85,28.0,52.1,Lettuce,128.8,21.5,IMG-2276
SEN-1277,2025-10-05,55.5,6.88,26.6,33.5,Wheat,137.9,10.5,IMG-2277
SEN-1278,2025-10-06,59.14,5.26,23.1,36.7,Wheat,96.4,7.8,IMG-2278
SEN-1279,2025-10-07,65.71,7.82,27.6,61.0,Tomatoes,127.5,19.9,IMG-2279
SEN-1280,2025-10-08,72.3,7.25,29.7,46.1,Tomatoes,76.1,17.1,IMG-2280
SEN-1281,2025-10-09,33.66,4.81,32.8,80.1,Beans,110.0,5.7,IMG-2281
SEN-1282,2025-10-10,36.29,5.96,28.8,30.9,Beans,148.7,14.5,IMG-2282
SEN-1283,2025-10-11,16.58,7.58,30.9,52.7,Wheat,57.1,7.7,IMG-2283
SEN-1284,2025-10-12,50.48,7.81,20.7,50.2,Tomatoes,76.8,18.3,IMG-2284
SEN-1285,2025-10-13,12.52,6.14,25.8,31.2,Maize,87.6,14.9,IMG-2285
SEN-1286,2025-10-14,42.59,6.65,18.2,37.5,Lettuce,46.6,20.3,IMG-2286
SEN-1287,2025-10-15,47.99,5.08,22.2,54.8,Tomatoes,39.7,25.1,IMG-2287
SEN-1288,2025-10-16,30.06,7.97,30.3,59.6,Tomatoes,129.6,12.5,IMG-2288
SEN-1289,2025-10-17,51.36,5.31,34.9,54.3,Beans,147.2,29.1,IMG-2289
SEN-1290,2025-10-18,12.14,7.8,19.7,61.9,Lettuce,78.6,18.4,IMG-2290
SEN-1291,2025-10-19,12.61,6.77,24.8,65.7,Wheat,40.5,20.5,IMG-2291
SEN-1292,2025-10-20,67.58,6.63,31.6,30.6,Tomatoes,37.9,22.0,IMG-2292
SEN-1293,2025-10-21,35.21,6.29,21.5,57.8,Wheat,137.0,21.7,IMG-2293
SEN-1294,2025-10-22,18.89,5.31,27.4,87.8,Tomatoes,85.7,17.8,IMG-2294
SEN-1295,2025-10-23,46.56,5.12,30.5,61.1,Wheat,68.4,15.7,IMG-2295
SEN-1296,2025-10-24,63.9,5.27,28.5,70.7,Lettuce,87.2,6.3,IMG-2296
SEN-1297,2025-10-25,25.11,5.15,21.2,48.7,Beans,68.2,5.6,IMG-2297
SEN-1298,2025-10-26,53.6,7.23,24.0,76.4,Lettuce,88.7,13.9,IMG-2298
SEN-1299,2025-10-27,15.97,5.73,31.3,76.4,Maize,133.1,13.3,IMG-2299
SEN-1300,2025-10-28,13.62,4.7,27.4,61.3,Beans,101.1,14.7,IMG-2300
SEN-1301,2025-10-29,47.19,7.89,18.1,88.6,Lettuce,113.4,8.5,IMG-2301
SEN-1302,2025-10-30,47.84,7.59,30.9,37.5,Maize,73.8,23.5,IMG-2302
SEN-1303,2025-10-31,54.62,7.75,18.6,31.0,Tomatoes,118.6,26.4,IMG-2303
SEN-1304,2025-11-01,60.83,7.98,30.7,76.2,Tomatoes,110.0,28.5,IMG-2304
SEN-1305,2025-11-02,78.31,5.11,21.4,78.4,Wheat,44.3,17.3,IMG-2305
SEN-1306,2025-11-03,46.14,5.89,34.3,37.2,Beans,98.7,22.5,IMG-2306
SEN-1307,2025-11-04,32.61,7.15,24.3,45.9,Tomatoes,60.8,26.4,IMG-2307
SEN-1308,2025-11-05,65.66,6.94,23.6,31.1,Beans,126.5,15.5,IMG-2308
SEN-1309,2025-11-06,28.96,5.04,20.5,47.6,Tomatoes,81.1,12.7,IMG-2309
SEN-1310,2025-11-07,40.73,7.36,23.2,76.4,Wheat,149.4,28.4,IMG-2310
SEN-1311,2025-11-08,15.49,5.29,32.9,61.1,Lettuce,41.1,17.9,IMG-2311
SEN-1312,2025-11-09,11.77,5.28,34.9,50.9,Wheat,123.6,17.4,IMG-2312
SEN-1313,2025-11-10,77.39,6.38,24.3,52.3,Maize,110.8,9.5,IMG-2313
SEN-1314,2025-11-11,68.52,6.58,25.6,30.1,Tomatoes,122.1,7.7,IMG-2314
SEN-1315,2025-11-12,58.72,6.53,30.3,48.0,Maize,66.9,26.1,IMG-2315
SEN-1316,2025-11-13,38.63,4.82,33.1,68.8,Maize,89.0,20.4,IMG-2316
SEN-1317,2025-11-14,22.13,7.57,28.1,88.5,Wheat,125.6,13.1,IMG-2317
SEN-1318,2025-11-15,20.95,5.43,24.7,80.8,Tomatoes,57.9,9.8,IMG-2318
SEN-1319,2025-11-16,27.52,4.95,25.0,31.4,Maize,57.1,18.9,IMG-2319
SEN-1320,2025-11-17,48.45,7.61,29.8,83.9,Lettuce,96.1,19.6,IMG-2320
SEN-1321,2025-11-18,60.02,7.84,18.1,77.0,Wheat,92.8,10.2,IMG-2321
SEN-1322,2025-11-19,56.21,7.52,28.5,76.8,Lettuce,63.9,26.3,IMG-2322
SEN-1323,2025-11-20,29.6,7.33,24.0,57.5,Beans,65.8,7.1,IMG-2323
SEN-1324,2025-11-21,76.84,6.79,31.5,53.9,Maize,63.3,13.9,IMG-2324
SEN-1325,2025-11-22,61.65,6.43,19.6,48.2,Wheat,122.6,22.0,IMG-2325
SEN-1326,2025-11-23,48.8,4.8,28.0,33.9,Beans,108.2,11.9,IMG-2326
SEN-1327,2025-11-24,52.82,5.93,26.2,43.7,Lettuce,129.9,25.7,IMG-2327
SEN-1328,2025-11-25,39.37,5.8,28.9,44.8,Beans,147.1,23.5,IMG-2328
SEN-1329,2025-11-26,27.34,5.41,19.1,59.0,Maize,86.9,24.7,IMG-2329
SEN-1330,2025-11-27,34.92,7.03,27.9,74.8,Tomatoes,38.0,8.0,IMG-2330
SEN-1331,2025-11-28,63.05,6.24,27.5,58.4,Tomatoes,35.8,8.5,IMG-2331
SEN-1332,2025-11-29,11.01,4.78,27.5,33.5,Lettuce,65.5,12.2,IMG-2332
SEN-1333,2025-11-30,18.13,5.27,28.3,87.5,Lettuce,141.9,18.0,IMG-2333
SEN-1334,2025-12-01,13.22,6.89,29.5,86.6,Tomatoes,92.8,23.7,IMG-2334
SEN-1335,2025-12-02,12.85,4.77,31.7,77.1,Lettuce,62.6,25.9,IMG-2335
SEN-1336,2025-12-03,69.88,7.48,22.6,89.5,Beans,77.9,22.6,IMG-2336
SEN-1337,2025-12-04,59.26,6.23,32.0,62.7,Wheat,101.8,28.2,IMG-2337
SEN-1338,2025-12-05,43.19,6.18,26.5,87.8,Wheat,108.4,23.5,IMG-2338
SEN-1339,2025-12-06,16.85,6.57,19.3,34.5,Beans,48.5,12.7,IMG-2339
SEN-1340,2025-12-07,44.41,7.39,19.0,51.9,Wheat,147.2,11.6,IMG-2340
SEN-1341,2025-12-08,43.14,5.72,23.7,43.5,Maize,95.4,22.4,IMG-2341
SEN-1342,2025-12-09,22.12,6.87,31.3,41.7,Beans,46.3,9.8,IMG-2342
SEN-1343,2025-12-10,40.37,6.48,30.0,38.4,Lettuce,137.2,7.3,IMG-2343
SEN-1344,2025-12-11,37.9,5.43,31.4,67.3,Beans,39.0,18.3,IMG-2344
SEN-1345,2025-12-12,53.11,7.58,26.8,76.9,Tomatoes,138.9,25.5,IMG-2345
SEN-1346,2025-12-13,54.46,7.29,25.5,64.7,Lettuce,149.6,7.5,IMG-2346
SEN-1347,2025-12-14,13.17,6.8,20.5,38.8,Tomatoes,114.1,24.8,IMG-2347
SEN-1348,2025-12-15,36.22,7.48,23.6,78.7,Lettuce,122.5,25.3,IMG-2348
SEN-1349,2025-12-16,53.81,7.54,25.4,68.2,Wheat,70.5,17.1,IMG-2349
SEN-1350,2025-12-17,45.22,6.98,19.5,53.3,Beans,143.0,6.4,IMG-2350
SEN-1351,2025-12-18,69.95,7.43,21.8,70.4,Maize,93.6,9.4,IMG-2351
SEN-1352,2025-12-19,56.11,6.94,28.2,45.6,Lettuce,117.9,22.7,IMG-2352
SEN-1353,2025-12-20,21.41,6.88,30.5,50.7,Lettuce,140.9,22.8,IMG-2353
SEN-1354,2025-12-21,14.94,6.67,35.0,85.0,Tomatoes,147.0,27.5,IMG-2354
SEN-1355,2025-12-22,54.97,7.13,33.9,47.4,Wheat,130.0,19.6,IMG-2355
SEN-1356,2025-12-23,11.86,5.06,28.9,58.2,Tomatoes,66.4,8.1,IMG-2356
SEN-1357,2025-12-24,51.0,7.58,25.2,83.4,Tomatoes,146.0,8.0,IMG-2357
SEN-1358,2025-12-25,75.82,7.55,28.8,72.5,Wheat,105.4,23.0,IMG-2358
SEN-1359,2025-12-26,50.28,4.6,31.4,33.7,Maize,141.7,9.6,IMG-2359
SEN-1360,2025-12-27,37.17,7.39,20.0,38.8,Tomatoes,111.1,13.2,IMG-2360
SEN-1361,2025-12-28,55.03,4.95,25.0,30.5,Tomatoes,66.9,17.2,IMG-2361
SEN-1362,2025-12-29,42.08,5.67,32.3,67.9,Lettuce,74.4,5.6,IMG-2362
SEN-1363,2025-12-30,48.19,7.1,24.5,56.9,Wheat,96.1,11.2,IMG-2363
SEN-1364,2025-12-31,75.9,5.06,27.7,38.1,Beans,124.8,15.2,IMG-2364
SEN-1365,2026-01-01,37.03,7.36,28.0,87.5,Maize,68.2,12.0,IMG-2365
SEN-1366,2026-01-02,77.28,7.41,21.1,61.8,Maize,99.6,8.4,IMG-2366
SEN-1367,2026-01-03,73.37,6.28,24.2,44.5,Wheat,71.5,23.2,IMG-2367
SEN-1368,2026-01-04,23.71,4.52,23.7,60.0,Lettuce,127.9,25.3,IMG-2368
SEN-1369,2026-01-05,14.86,5.5,18.4,70.8,Lettuce,86.0,11.4,IMG-2369
SEN-1370,2026-01-06,17.05,6.66,18.4,34.6,Wheat,39.2,24.4,IMG-2370
SEN-1371,2026-01-07,11.28,7.93,32.1,46.5,Lettuce,49.9,14.6,IMG-2371
SEN-1372,2026-01-08,16.61,6.71,22.6,78.4,Maize,37.3,17.7,IMG-2372
SEN-1373,2026-01-09,57.81,5.41,26.8,57.6,Maize,89.9,26.4,IMG-2373
SEN-1374,2026-01-10,14.98,6.72,23.1,62.8,Beans,42.8,23.7,IMG-2374
SEN-1375,2026-01-11,32.33,6.39,34.0,56.0,Wheat,43.7,25.1,IMG-2375
SEN-1376,2026-01-12,69.14,7.23,22.4,32.6,Tomatoes,142.9,8.4,IMG-2376
SEN-1377,2026-01-13,11.63,4.87,25.3,39.9,Tomatoes,134.7,6.7,IMG-2377
SEN-1378,2026-01-14,67.01,7.16,32.8,56.7,Beans,84.3,27.3,IMG-2378
SEN-1379,2026-01-15,29.73,6.39,32.3,42.6,Beans,148.3,14.7,IMG-2379
SEN-1380,2026-01-16,18.27,7.87,21.2,33.0,Lettuce,30.0,12.2,IMG-2380
SEN-1381,2026-01-17,58.77,5.7,31.6,80.6,Beans,103.7,23.1,IMG-2381
SEN-1382,2026-01-18,54.03,6.71,25.8,88.9,Beans,104.0,25.9,IMG-2382
SEN-1383,2026-01-19,71.42,7.76,26.2,77.6,Tomatoes,84.9,26.6,IMG-2383
SEN-1384,2026-01-20,61.45,4.86,20.3,81.2,Lettuce,77.6,12.9,IMG-2384
SEN-1385,2026-01-21,66.24,7.78,19.4,44.5,Beans,84.6,26.3,IMG-2385
SEN-1386,2026-01-22,29.74,6.91,30.4,87.6,Beans,79.8,6.0,IMG-2386
SEN-1387,2026-01-23,22.42,4.74,26.4,41.8,Lettuce,117.7,6.2,IMG-2387
SEN-1388,2026-01-24,62.54,5.55,25.4,87.1,Wheat,46.2,20.6,IMG-2388
SEN-1389,2026-01-25,66.48,6.98,30.4,89.7,Lettuce,53.7,6.6,IMG-2389
SEN-1390,2026-01-26,79.34,4.74,31.0,72.7,Tomatoes,51.7,13.1,IMG-2390
SEN-1391,2026-01-27,38.88,6.54,20.7,88.9,Wheat,61.5,21.8,IMG-2391
SEN-1392,2026-01-28,36.04,5.71,28.4,64.2,Maize,93.0,13.4,IMG-2392
SEN-1393,2026-01-29,64.35,6.67,20.3,45.6,Lettuce,43.3,9.5,IMG-2393
SEN-1394,2026-01-30,33.86,4.66,30.8,56.2,Tomatoes,134.2,12.0,IMG-2394
SEN-1395,2026-01-31,75.15,7.55,29.2,65.6,Wheat,65.7,16.4,IMG-2395
SEN-1396,2026-02-01,70.09,7.91,34.3,34.4,Lettuce,49.5,16.9,IMG-2396
SEN-1397,2026-02-02,40.03,7.89,19.2,67.3,Beans,111.1,24.6,IMG-2397
SEN-1398,2026-02-03,62.56,7.12,19.0,88.9,Lettuce,34.6,23.8,IMG-2398
SEN-1399,2026-02-04,62.82,4.96,22.8,41.4,Maize,104.4,16.4,IMG-2399
SEN-1400,2026-02-05,17.22,7.15,22.4,77.6,Lettuce,113.8,26.1,IMG-2400
SEN-1401,2026-02-06,73.18,4.59,22.2,84.5,Wheat,55.8,7.9,IMG-2401
SEN-1402,2026-02-07,45.37,4.58,33.4,86.6,Wheat,35.0,11.4,IMG-2402
SEN-1403,2026-02-08,67.85,5.63,22.2,87.6,Lettuce,73.6,25.7,IMG-2403
SEN-1404,2026-02-09,32.4,6.21,22.6,61.3,Wheat,41.8,14.4,IMG-2404
SEN-1405,2026-02-10,72.69,7.2,30.9,88.6,Beans,44.0,29.5,IMG-2405
SEN-1406,2026-02-11,37.24,6.89,25.6,75.4,Lettuce,60.5,16.7,IMG-2406
SEN-1407,2026-02-12,10.76,6.06,31.2,39.7,Beans,65.5,24.8,IMG-2407
SEN-1408,2026-02-13,73.38,5.46,19.1,58.6,Beans,93.6,15.1,IMG-2408
SEN-1409,2026-02-14,16.39,7.99,26.3,73.1,Tomatoes,111.4,15.6,IMG-2409
SEN-1410,2026-02-15,32.35,5.99,18.6,44.8,Lettuce,101.1,14.6,IMG-2410
SEN-1411,2026-02-16,76.5,6.08,19.1,68.4,Wheat,47.8,23.0,IMG-2411
SEN-1412,2026-02-17,76.54,5.07,33.4,70.0,Beans,50.7,18.7,IMG-2412
SEN-1413,2026-02-18,50.14,7.28,20.4,39.8,Tomatoes,135.5,28.6,IMG-2413
SEN-1414,2026-02-19,54.23,6.93,27.1,63.9,Lettuce,97.0,11.3,IMG-2414
SEN-1415,2026-02-20,41.39,5.27,25.0,76.3,Lettuce,134.4,7.5,IMG-2415
SEN-1416,2026-02-21,30.52,4.79,23.9,59.9,Maize,74.6,14.8,IMG-2416
SEN-1417,2026-02-22,33.01,6.88,33.3,30.7,Maize,103.7,20.4,IMG-2417
SEN-1418,2026-02-23,57.08,6.79,18.4,30.5,Beans,92.8,26.5,IMG-2418
SEN-1419,2026-02-24,62.67,5.46,29.3,51.4,Maize,68.3,13.7,IMG-2419
SEN-1420,2026-02-25,65.41,7.83,34.4,85.6,Beans,86.4,21.3,IMG-2420
SEN-1421,2026-02-26,65.27,5.03,27.5,43.7,Wheat,90.3,13.8,IMG-2421
SEN-1422,2026-02-27,16.38,6.01,33.9,68.1,Beans,54.1,20.4,IMG-2422
SEN-1423,2026-02-28,44.61,7.8,18.9,43.3,Maize,67.8,27.1,IMG-2423
SEN-1424,2026-03-01,14.03,5.97,25.1,49.3,Wheat,125.0,10.8,IMG-2424
SEN-1425,2026-03-02,48.47,6.73,22.4,80.9,Maize,139.9,15.1,IMG-2425
SEN-1426,2026-03-03,40.91,5.89,30.4,73.7,Beans,73.2,29.8,IMG-2426
SEN-1427,2026-03-04,72.14,5.46,34.7,35.7,Tomatoes,66.8,26.7,IMG-2427
SEN-1428,2026-03-05,34.56,7.94,22.4,55.7,Lettuce,53.4,19.1,IMG-2428
SEN-1429,2026-03-06,18.19,5.93,29.1,31.8,Maize,111.4,17.9,IMG-2429
SEN-1430,2026-03-07,20.01,7.63,21.4,58.9,Beans,68.8,12.1,IMG-2430
SEN-1431,2026-03-08,63.31,5.3,27.6,69.7,Wheat,148.5,17.9,IMG-2431
SEN-1432,2026-03-09,53.28,5.25,25.9,37.1,Maize,69.1,26.2,IMG-2432
SEN-1433,2026-03-10,17.08,4.61,34.5,47.3,Maize,77.3,22.1,IMG-2433
SEN-1434,2026-03-11,15.89,6.78,28.3,53.9,Lettuce,102.4,12.3,IMG-2434
SEN-1435,2026-03-12,59.07,5.79,23.9,85.2,Beans,126.2,10.0,IMG-2435
SEN-1436,2026-03-13,15.09,7.53,19.9,89.6,Tomatoes,86.3,11.6,IMG-2436
SEN-1437,2026-03-14,67.53,6.16,20.6,32.7,Wheat,80.7,9.2,IMG-2437
SEN-1438,2026-03-15,59.44,7.89,21.8,75.7,Beans,149.5,7.4,IMG-2438
SEN-1439,2026-03-16,15.69,5.15,22.3,52.3,Wheat,31.3,15.5,IMG-2439
SEN-1440,2026-03-17,15.94,7.54,32.5,53.5,Maize,137.4,7.8,IMG-2440
SEN-1441,2026-03-18,79.06,7.22,27.5,75.3,Lettuce,47.9,9.3,IMG-2441
SEN-1442,2026-03-19,36.2,7.2,26.9,85.1,Lettuce,124.3,18.7,IMG-2442
SEN-1443,2026-03-20,35.94,7.46,20.0,87.1,Tomatoes,104.2,9.1,IMG-2443
SEN-1444,2026-03-21,66.9,7.16,32.6,64.6,Lettuce,71.0,6.6,IMG-2444
SEN-1445,2026-03-22,76.31,6.69,30.3,51.4,Maize,134.9,12.9,IMG-2445
SEN-1446,2026-03-23,79.02,4.96,19.2,77.3,Tomatoes,31.5,10.5,IMG-2446
SEN-1447,2026-03-24,62.74,4.61,30.0,45.1,Beans,57.2,17.9,IMG-2447
SEN-1448,2026-03-25,36.34,7.72,27.2,63.8,Lettuce,98.0,7.6,IMG-2448
SEN-1449,,15.85,6.66,19.4,51.5,Tomatoes,72.2,23.8,IMG-2449
SEN-1450,2026-03-27,64.4,7.29,25.8,69.4,Maize,103.2,27.7,IMG-2450
SEN-1451,2026-03-28,49.09,6.19,26.2,44.4,Wheat,32.9,23.6,IMG-2451
SEN-1452,2026-03-29,39.7,4.91,20.8,41.5,Wheat,44.0,18.3,IMG-2452
SEN-1453,2026-03-30,73.44,4.94,34.1,85.1,Maize,45.3,26.5,IMG-2453
SEN-1454,2026-03-31,17.78,6.9,32.4,36.1,Maize,52.7,22.4,IMG-2454
SEN-1455,2026-04-01,44.48,6.01,29.4,60.4,Wheat,85.1,5.3,IMG-2455
SEN-1456,,10.79,5.2,25.9,43.3,Tomatoes,120.3,14.9,IMG-2456
SEN-1457,2026-04-03,42.81,6.22,25.0,32.3,Wheat,138.7,26.3,IMG-2457
SEN-1458,2026-04-04,13.94,4.72,29.1,32.2,Maize,130.2,13.6,IMG-2458
SEN-1459,2026-04-05,45.185,6.295,26.6,59.4,Lettuce,86.3,17.4,IMG-2459
SEN-1460,2026-04-06,18.23,5.44,19.1,82.0,Beans,82.9,23.7,IMG-2460
SEN-1461,2026-04-07,55.44,7.29,26.7,46.9,Lettuce,53.9,25.1,IMG-2461
SEN-1462,2026-04-08,62.22,5.59,31.7,87.0,Lettuce,61.7,9.0,IMG-2462
SEN-1463,2026-04-09,50.84,6.09,25.8,64.9,Maize,90.4,18.4,IMG-2463
SEN-1464,2026-04-10,77.35,4.54,18.9,56.2,Wheat,38.2,9.8,IMG-2464
SEN-1465,2026-04-11,36.24,4.75,31.4,64.8,Tomatoes,56.2,23.0,IMG-2465
SEN-1466,2026-04-12,30.0,5.87,21.4,61.0,Lettuce,142.2,11.8,IMG-2466
SEN-1467,2026-04-13,70.8,6.18,22.4,75.5,Wheat,85.9,12.9,IMG-2467
SEN-1468,2026-04-14,25.65,6.6,20.8,46.9,Tomatoes,83.4,26.1,IMG-2468
SEN-1469,2026-04-15,77.43,5.52,23.6,51.2,Lettuce,31.7,16.9,IMG-2469
SEN-1470,2026-04-16,10.85,6.93,30.9,83.6,Tomatoes,59.7,21.7,IMG-2470
SEN-1471,2026-04-17,77.89,7.51,26.8,86.8,Wheat,134.0,15.1,IMG-2471
SEN-1472,2026-04-18,13.02,7.23,21.5,83.6,Beans,49.8,12.5,IMG-2472
SEN-1473,2026-04-19,72.38,4.64,32.9,55.2,Wheat,79.8,20.6,IMG-2473
SEN-1474,2026-04-20,46.94,6.18,33.0,76.8,Maize,31.7,8.9,IMG-2474
SEN-1475,2026-04-21,79.51,4.87,32.8,58.6,Tomatoes,87.4,14.3,IMG-2475
SEN-1476,2026-04-22,15.17,5.35,22.1,59.9,Beans,32.5,10.2,IMG-2476
SEN-1477,2026-04-23,48.77,7.95,25.7,42.3,Tomatoes,128.4,22.4,IMG-2477
SEN-1478,2026-04-24,77.85,5.0,34.7,65.5,Tomatoes,129.0,28.6,IMG-2478
SEN-1479,2026-04-25,46.62,6.25,31.1,41.2,Lettuce,124.5,29.9,IMG-2479
SEN-1480,2026-04-26,54.06,6.66,18.5,49.9,Maize,64.0,16.3,IMG-2480
SEN-1481,2026-04-27,58.7,6.96,19.1,81.3,Tomatoes,130.5,11.3,IMG-2481
SEN-1482,2026-04-28,41.82,6.46,25.9,42.4,Wheat,95.2,16.1,IMG-2482
SEN-1483,2026-04-29,53.93,4.53,33.5,34.3,Wheat,74.9,26.2,IMG-2483
SEN-1484,,50.9,5.64,27.2,34.1,Lettuce,105.0,10.2,IMG-2484
SEN-1485,2026-05-01,73.08,6.31,26.5,86.4,Maize,31.5,28.8,IMG-2485
SEN-1486,2026-05-02,13.18,4.81,19.8,60.4,Maize,47.2,13.5,IMG-2486
SEN-1487,2026-05-03,29.67,5.73,29.2,54.6,Wheat,119.1,29.6,IMG-2487
SEN-1488,2026-05-04,76.53,4.62,32.0,78.7,Beans,59.3,26.0,IMG-2488
SEN-1489,2026-05-05,72.32,4.78,24.5,80.1,Lettuce,101.8,25.2,IMG-2489
SEN-1490,2026-05-06,41.9,5.89,31.2,49.9,Lettuce,76.2,12.9,IMG-2490
SEN-1491,2026-05-07,53.41,4.96,34.4,71.6,Wheat,132.6,5.2,IMG-2491
SEN-1492,2026-05-08,29.42,6.49,21.5,76.3,Wheat,144.3,14.6,IMG-2492
SEN-1493,2026-05-09,23.17,6.91,26.9,69.3,Beans,136.0,12.5,IMG-2493
SEN-1494,2026-05-10,42.46,7.3,22.9,39.1,Beans,62.5,5.9,IMG-2494
SEN-1495,2026-05-11,34.73,5.2,31.5,82.6,Maize,53.3,17.6,IMG-2495
SEN-1496,2026-05-12,50.86,5.09,27.8,62.3,Lettuce,86.9,15.1,IMG-2496
SEN-1497,2026-05-13,15.44,4.87,28.8,46.9,Lettuce,30.9,20.9,IMG-2497
SEN-1498,2026-05-14,78.21,6.73,31.6,55.5,Wheat,33.1,20.5,IMG-2498
SEN-1499,2026-05-15,79.03,6.97,24.7,32.3,Maize,96.4,8.0,IMG-2499
SEN-1500,2026-05-16,58.87,4.61,33.6,37.7,Lettuce,92.5,29.4,IMG-2500
SEN-1501,2026-05-17,47.53,7.78,27.1,75.9,Maize,149.3,9.7,IMG-2501
SEN-1502,2026-05-18,31.67,4.68,20.7,30.0,Maize,54.2,16.1,IMG-2502
SEN-1503,2026-05-19,66.97,6.39,29.8,55.0,Wheat,61.0,17.2,IMG-2503
SEN-1504,2026-05-20,57.93,6.98,31.5,61.4,Maize,43.6,25.3,IMG-2504
SEN-1505,2026-05-21,21.38,7.55,23.4,33.3,Beans,140.1,7.5,IMG-2505
SEN-1506,2026-05-22,73.76,7.0,32.6,88.4,Beans,123.3,15.7,IMG-2506
SEN-1507,2026-05-23,67.58,7.31,33.4,43.6,Tomatoes,128.7,20.7,IMG-2507
SEN-1508,2026-05-24,76.49,5.69,22.7,48.3,Wheat,138.3,10.4,IMG-2508
SEN-1509,2026-05-25,60.8,7.35,34.7,48.2,Tomatoes,93.0,20.7,IMG-2509
SEN-1510,2026-05-26,52.94,4.78,20.4,43.8,Beans,84.1,28.1,IMG-2510
SEN-1511,2026-05-27,39.28,7.63,21.4,30.1,Tomatoes,69.6,29.9,IMG-2511
SEN-1512,2026-05-28,75.29,6.42,21.1,73.8,Wheat,100.7,5.8,IMG-2512
SEN-1513,2026-05-29,70.62,7.36,33.2,88.0,Wheat,84.5,10.9,IMG-2513
SEN-1514,2026-05-30,13.17,6.08,29.1,43.5,Maize,84.2,12.8,IMG-2514
SEN-1515,2026-05-31,11.85,6.75,20.6,69.8,Lettuce,142.4,15.0,IMG-2515
SEN-1516,2026-06-01,36.35,6.34,25.5,74.5,Maize,148.1,11.1,IMG-2516
SEN-1517,2026-06-02,66.74,7.06,28.5,80.9,Wheat,125.6,10.1,IMG-2517
SEN-1518,2026-06-03,79.11,4.79,19.4,55.4,Beans,120.8,28.9,IMG-2518
SEN-1519,2026-06-04,20.53,4.71,33.0,48.2,Beans,111.7,28.0,IMG-2519
SEN-1520,2026-06-05,51.59,5.36,31.7,49.5,Maize,49.9,6.2,IMG-2520
SEN-1521,2026-06-06,36.66,5.06,26.6,72.8,Wheat,37.1,13.5,IMG-2521
SEN-1522,2026-06-07,77.89,7.55,34.4,79.0,Beans,112.9,15.1,IMG-2522
SEN-1523,2026-06-08,68.95,5.27,25.1,40.9,Wheat,117.5,11.0,IMG-2523
SEN-1524,2026-06-09,68.68,7.92,34.7,52.3,Beans,35.6,20.7,IMG-2524
SEN-1525,2026-06-10,42.81,5.68,29.4,84.1,Wheat,141.4,21.0,IMG-2525
SEN-1526,2026-06-11,39.04,5.14,28.8,78.4,Tomatoes,40.9,26.3,IMG-2526
SEN-1527,2026-06-12,29.14,7.26,20.8,89.1,Wheat,64.3,23.5,IMG-2527
SEN-1528,2026-06-13,13.95,6.81,33.0,75.3,Wheat,110.7,18.6,IMG-2528
SEN-1529,2026-06-14,70.53,6.24,25.3,53.6,Maize,50.4,21.3,IMG-2529
SEN-1530,2026-06-15,66.9,6.44,20.8,65.4,Tomatoes,36.6,11.8,IMG-2530
SEN-1531,2026-06-16,79.98,7.02,18.2,69.7,Lettuce,69.7,19.8,IMG-2531
SEN-1532,2026-06-17,79.76,5.3,27.5,34.7,Maize,121.9,17.2,IMG-2532
SEN-1533,2026-06-18,48.88,7.99,27.0,62.7,Lettuce,79.6,8.3,IMG-2533
SEN-1534,2026-06-19,63.83,7.91,30.2,72.6,Beans,108.4,11.1,IMG-2534
SEN-1535,2026-06-20,76.13,6.78,33.1,40.0,Lettuce,99.6,12.3,IMG-2535
SEN-1536,2026-06-21,69.48,5.2,19.3,76.8,Wheat,32.7,28.1,IMG-2536
SEN-1537,2026-06-22,27.31,6.88,30.4,65.0,Lettuce,148.6,10.8,IMG-2537
SEN-1538,2026-06-23,41.54,4.75,21.2,87.1,Maize,35.0,12.2,IMG-2538
SEN-1539,2026-06-24,19.04,4.61,32.6,32.5,Maize,146.1,14.2,IMG-2539
SEN-1540,2026-06-25,76.78,5.4,31.9,45.9,Lettuce,96.0,21.6,IMG-2540
SEN-1541,2026-06-26,52.43,6.12,27.2,66.1,Maize,145.6,8.0,IMG-2541
SEN-1542,2026-06-27,26.0,7.54,30.1,47.8,Maize,43.8,28.8,IMG-2542
SEN-1543,2026-06-28,57.02,7.05,23.3,72.9,Lettuce,88.8,26.6,IMG-2543
SEN-1544,2026-06-29,53.27,7.1,26.0,75.5,Tomatoes,50.3,19.4,IMG-2544
SEN-1545,2026-06-30,35.07,5.99,32.0,36.2,Tomatoes,36.1,21.9,IMG-2545
SEN-1546,2026-07-01,17.95,5.71,25.8,60.8,Beans,104.1,5.4,IMG-2546
SEN-1547,2026-07-02,57.01,5.8,24.1,60.5,Maize,54.9,13.5,IMG-2547
SEN-1548,2026-07-03,46.42,7.96,26.4,52.2,Lettuce,100.5,24.9,IMG-2548
SEN-1549,2026-07-04,64.06,4.64,32.1,86.0,Maize,43.5,6.9,IMG-2549
SEN-1550,2026-07-05,46.41,7.53,23.7,79.7,Wheat,69.8,12.1,IMG-2550
